Movie Title,Release Year,Genre,IMDb Rating,Streaming Service,Runtime (in minutes),Age Rating,Production Country :,URL
Pushpa 2 - The Rule,2024,"Crime, Action & Adventure, Drama, Mystery & Thriller",6.4,bookmyshow,198.0,,India,https://www.justwatch.com/in/movie/pushpa-the-rule-part-2
Bhool Bhulaiyaa 3,2024,"Comedy, Horror",4.8,netflix,158.0,UA,India,https://www.justwatch.com/in/movie/bhool-bhulaiyaa-3
Lucky Baskhar,2024,"Drama, Mystery & Thriller, Crime",8.0,"bookmyshow, netflix",148.0,UA,India,https://www.justwatch.com/in/movie/lucky-baskhar
Solo Leveling -ReAwakening-,2024,"Animation, Action & Adventure, Fantasy",8.2,bookmyshow,116.0,,Japan,https://www.justwatch.com/in/movie/ore-dake-level-up-na-ken-reawakening
Venom: The Last Dance,2024,"Action & Adventure, Science-Fiction, Mystery & Thriller",6.0,"amazon, itunes, zee5",109.0,,United States,https://www.justwatch.com/in/movie/venom-3-2024
Marco,2024,"Action & Adventure, Crime, Mystery & Thriller",7.8,,145.0,A,India,https://www.justwatch.com/in/movie/marco-2024
Pushpa: The Rise,2021,"Action & Adventure, Drama, Mystery & Thriller, Crime",7.6,"amazonprimevideo, amazon",179.0,UA,India,https://www.justwatch.com/in/movie/pushpa
Singham Again,2024,"Mystery & Thriller, Drama, Action & Adventure",5.0,"amazonprimevideo, amazon, bookmyshow",145.0,,India,https://www.justwatch.com/in/movie/singham-again-2024-0
Red One,2024,"Action & Adventure, Fantasy, Comedy",6.4,amazonprimevideo,124.0,,United States,https://www.justwatch.com/in/movie/red-one
All We Imagine as Light,2024,"Drama, Romance",7.3,"bookmyshow, hotstar",118.0,A,"Italy, Luxembourg, Netherlands, France, India",https://www.justwatch.com/in/movie/all-we-imagine-as-light
Sookshma Darshini,2024,Mystery & Thriller,8.1,bookmyshow,142.0,,India,https://www.justwatch.com/in/movie/sookshma-darshini
Stree 2: Sarkate Ka Aatank,2024,"Horror, Comedy",7.0,"amazonprimevideo, amazon",147.0,UA,India,https://www.justwatch.com/in/movie/stree-2
Culpa Tuya,2024,"Drama, Romance",5.3,amazonprimevideo,120.0,,Spain,https://www.justwatch.com/in/movie/your-fault
Carry-On,2024,"Action & Adventure, Mystery & Thriller, Drama, Crime",6.5,netflix,119.0,,United States,https://www.justwatch.com/in/movie/carry-on-2024
The Substance,2024,"Science-Fiction, Horror, Drama",7.4,"amazon, amazonmubi, mubi",141.0,,"United Kingdom, United States, France",https://www.justwatch.com/in/movie/the-substance
Amaran,2024,"Action & Adventure, Drama, War & Military",8.2,"bookmyshow, netflix",167.0,,India,https://www.justwatch.com/in/movie/amaran-2024
Mufasa: The Lion King,2024,"Kids & Family, Fantasy, Animation, Drama, Action & Adventure",6.7,bookmyshow,118.0,,United States,https://www.justwatch.com/in/movie/mufasa-the-lion-king
The Wild Robot,2024,"Animation, Science-Fiction, Action & Adventure, Kids & Family",8.2,"amazon, itunes, zee5, bookmyshow",102.0,U,"Japan, United States",https://www.justwatch.com/in/movie/the-wild-robot
Kanguva,2024,"Action & Adventure, Mystery & Thriller, Fantasy, Drama",4.6,"amazonprimevideo, amazon",154.0,UA,India,https://www.justwatch.com/in/movie/kanguva
Anora,2024,"Romance, Comedy, Drama",7.9,,139.0,,United States,https://www.justwatch.com/in/movie/anora
Bagheera,2024,Action & Adventure,6.8,"hotstar, netflix",158.0,UA,India,https://www.justwatch.com/in/movie/bagheera-2024
Gladiator II,2024,"Action & Adventure, Drama",6.7,"amazon, itunes, bookmyshow",148.0,,"Canada, Malta, United States, United Kingdom, Morocco",https://www.justwatch.com/in/movie/gladiator-2
Zebra,2024,"Action & Adventure, Mystery & Thriller, Crime",8.1,aha,164.0,,India,https://www.justwatch.com/in/movie/zebra
Bougainvillea,2024,"Action & Adventure, Crime, Mystery & Thriller",6.4,sonyliv,138.0,UA,India,https://www.justwatch.com/in/movie/bougainvillea
Kishkindha Kaandam,2024,"Drama, Mystery & Thriller",8.1,hotstar,133.0,UA,India,https://www.justwatch.com/in/movie/kishkkindha-kandam
Vicky Vidya Ka Woh Wala Video,2024,Comedy,5.2,netflix,152.0,UA,India,https://www.justwatch.com/in/movie/vicky-vidya-ka-woh-wala-video
Girls Will Be Girls,2024,"Drama, Romance",7.1,amazonprimevideo,119.0,,"Norway, United States, France, India",https://www.justwatch.com/in/movie/girls-will-be-girls-2024
Deadpool & Wolverine,2024,"Science-Fiction, Action & Adventure, Comedy",7.6,"amazon, itunes, hotstar",128.0,A,United States,https://www.justwatch.com/in/movie/deadpool-3
Heretic,2024,"Horror, Mystery & Thriller",7.0,bookmyshow,111.0,,"United States, Canada",https://www.justwatch.com/in/movie/heretic
Thangalaan,2024,"Action & Adventure, Fantasy, History, Drama",6.7,netflix,156.0,UA,India,https://www.justwatch.com/in/movie/thangalaan
Baby John,2024,"Drama, Mystery & Thriller, Action & Adventure",6.5,bookmyshow,162.0,UA,India,https://www.justwatch.com/in/movie/untitled-murad-khetani-varun-dhawan-project
Kill,2024,"Action & Adventure, Crime, Drama, Mystery & Thriller",7.5,bookmyshow,105.0,A,India,https://www.justwatch.com/in/movie/kill-2024
