TV Show Title,Release Year,Genre,IMDb Rating,Streaming Service,Runtime (in minutes),Age Rating,Production Country :,URL
Squid Game,2021,"Action & Adventure, Drama, Mystery & Thriller",8.0,netflix,57.0,A,South Korea,https://www.justwatch.com/in/tv-show/squid-game
Thukra Ke Mera Pyaar,2024,"Drama, Romance",6.8,,23.0,,India,https://www.justwatch.com/in/tv-show/thukra-ke-mera-pyaar
Mismatched,2020,"Drama, Comedy, Romance",5.9,netflix,36.0,,India,https://www.justwatch.com/in/tv-show/mismatched
The Day of the Jackal,2024,"Crime, Drama, Mystery & Thriller, Action & Adventure",8.2,jiocinema,51.0,,"United Kingdom, United States",https://www.justwatch.com/in/tv-show/the-day-of-the-jackal
From,2022,"Drama, Horror, Science-Fiction, Mystery & Thriller",7.8,amazonprimevideo,51.0,,United States,https://www.justwatch.com/in/tv-show/from
The Traitors - Season 3,2025,Reality TV,,,,,United States,https://www.justwatch.com/in/tv-show/the-traitors-2023/season-3
Asura - Season 1,2025,Drama,,,,,Japan,https://www.justwatch.com/in/tv-show/like-asura/season-1
I Am Ilary - Season 1,2025,Reality TV,,,,,Italy,https://www.justwatch.com/in/tv-show/i-am-ilary/season-1
American Primeval - Miniseries,2025,"Western, Drama, Action & Adventure, Mystery & Thriller",,,,,United States,https://www.justwatch.com/in/tv-show/american-primeval/season-1
The Upshaws - Season 6,,"Comedy, Kids & Family, Drama",,,27.0,,United States,https://www.justwatch.com/in/tv-show/the-upshaws/season-6
